Name,Spin,Remnant Mass,N=0,N=1,N=2,N=3,N=4,N=5,N=6,N=7
0024,0.6802009504,0.955006523132,(0.5240591537470934-0.08150576263941263j),(0.5120310702581858-0.24650665591267246j),(0.4898460755032474-0.41641038581621853j),(0.46050955721113507-0.5907148195273535j),(0.42953684470008713-0.7633084102646053j),(0.411950279249044-0.9319754501522091j),(0.4107310236079522-1.1129082084540083j),(0.4115846533573391-1.3074433006086674j)
0025,0.738441999382,0.950372504154,(0.5508389914032954-0.07916650487879646j),(0.5406046417037357-0.2391187479516351j),(0.521291786965922-0.40307384191828544j),(0.49437615178902355-0.5704896427748374j),(0.46306188640993606-0.7339513069995582j),(0.44679141399898364-0.8880038677035549j),(0.4508683806400488-1.0576731282535983j),(0.454380998000361-1.2432450853348118j)
0027,0.673303593222,0.954487777116,(0.5212030793246153-0.08173722153980603j),(0.5089744913517668-0.24724712126358006j),(0.48647448057982784-0.4177774388754941j),(0.4568794650529635-0.5928549968427216j),(0.42587037338625594-0.766513906515138j),(0.40802785448885137-0.9366650093623934j),(0.4062746137578977-1.1187391257065609j),(0.4068527134744699-1.3142086227893597j)
0029,0.677766514495,0.953643759562,(0.523044347391471-0.0815884008131005j),(0.5109452379924145-0.24677078440893718j),(0.4886485534302705-0.4168972569480046j),(0.4592203705376998-0.5914754788674645j),(0.4282364195939094-0.764445964908363j),(0.4105609334748389-0.933641756928857j),(0.40915154320131397-1.1149811796516294j),(0.40990718606747434-1.3098488737436789j)
0033,0.732878790955,0.962102844741,(0.5480488722220487-0.07942449080642033j),(0.53763454087386-0.23992659746910247j),(0.5180278932767624-0.40451005635034076j),(0.49085402305512454-0.572616300954079j),(0.4596274095471963-0.7369420731098921j),(0.44333358207851653-0.8925822884173643j),(0.4468235736646202-1.0634809680409207j),(0.4500496120550276-1.249999532525178j)
0043,0.731014823962,0.962298174118,(0.5471262125352773-0.07950907344708098j),(0.5366520229045042-0.2401917675300427j),(0.5169479945009193-0.404982470587171j),(0.4896893121180667-0.573318250979993j),(0.45848941019065065-0.7379349685760657j),(0.4421808393174515-0.8940966791953568j),(0.4454790595082562-1.0653985833185897j),(0.44861096243629284-1.2522297232582142j)
0045,0.741007150125,0.96280376568,(0.5521442470016868-0.0790446760641101j),(0.541993566945384-0.23873773303902215j),(0.5228178115285631-0.4023979752937573j),(0.4960239825342687-0.5694925932116753j),(0.46466536439097333-0.7325583865436219j),(0.4483943626418642-0.8858626962989208j),(0.45274977556033424-1.05495141742253j),(0.45639749781949873-1.2400798984395887j)
0061,0.706509267887,0.974833355856,(0.5355266542458939-0.08054147208065987j),(0.5242851821324265-0.24344234723647382j),(0.5033459567205897-0.4108183348746391j),(0.4750380388643183-0.5820969515334551j),(0.44406449407478266-0.7505705165722609j),(0.42730951374051895-0.9131434673153568j),(0.42827992784078406-1.0893879667055162j),(0.43025106813187536-1.2801237257344502j)
0065,0.657386842854,0.984630094446,(0.5148295750391528-0.0822412345809332j),(0.5021465819915498-0.24886725558961473j),(0.4789355085269627-0.4207930577146643j),(0.4487563417450171-0.5976250030483697j),(0.417612998704593-0.7737095476102868j),(0.3991392325987559-0.9471291355496622j),(0.3962047364568511-1.1317163147622564j),(0.39616984444328623-1.3292512167989827j)
0066,0.686460407304,0.951609426767,(0.5267030901371647-0.08128840267172287j),(0.5148589505789726-0.24581315536422996j),(0.4929637601043314-0.41513594396930475j),(0.46386528543746647-0.5887317505105512j),(0.43291313298229717-0.7603521748189372j),(0.4155473230332036-0.9276339303363508j),(0.41482577613302457-1.1075012024866666j),(0.41593524051845965-1.3011667920791836j)
